Gene,GSM158635,GSM158636,GSM158637,GSM158638,GSM158639,GSM158640,GSM158641,GSM158642,GSM158643
A1CF,574.0,790.0,1593.0,1063.0,493.0,566.6666667000002,776.3333332999998,520.6666667,567.0
A2M,1193.0,148.0,4485.0,609.0,3564.0,2377.0,73.66666670000002,70.0,306.0
A4GALT,96.0,97.0,34.0,102.0,64.66666670000001,82.66666670000002,96.3333333,103.3333333,104.3333333
A4GNT,228.0,296.0,150.0,336.0,210.0,204.3333333,276.0,293.3333333,234.6666667
AAAS,150.0,266.0,334.0,229.0,344.3333333,291.0,414.0,242.3333333,260.6666667
AACS,810.0,911.0,2270.0,611.0,1118.666667,1684.0,582.3333332999998,444.0,818.6666667000002
AADAC,591.0,101.0,176.0,90.0,1692.6666670000004,68.66666670000001,106.0,920.6666667000003,-21.3333333
AAGAB,450.0,206.0,468.0,429.0,363.3333333,605.3333332999998,240.6666667,252.0,315.3333333
AAK1,3347.0,3539.0,1791.0,993.0,2708.333333,1759.6666670000004,4430.333333,1818.0,1177.666667
AAMDC,870.0,725.0,684.0,622.0,3130.0,7568.333333,421.6666667,421.6666667,490.33333330000005
AAMP,931.0,880.0,403.0,339.0,506.33333330000005,619.6666667000002,859.6666667000003,636.6666667000002,358.6666667
AANAT,-9.0,-25.0,-39.0,20.0,-20.6666667,-23.6666667,4.0,-42.3333333,3.0
AAR2,2404.0,2673.0,2515.0,2006.0,1525.333333,2003.333333,1989.0,1297.0,1434.666667
AARSD1,422.0,647.0,555.0,748.0,345.6666667,275.3333333,464.33333330000005,337.3333333,404.3333333
AASDHPPT,2105.0,1671.0,1380.0,2977.0,3820.666667,2867.0,2395.333333,4714.0,4482.0
AASS,66.0,1.0,62.0,-10.0,70.0,-17.0,-14.6666667,-21.0,-34.6666667
AATF,663.0,545.0,909.0,929.0,1156.0,862.0,771.0,887.3333332999997,3890.333333
AATK,1109.0,1784.0,1094.0,1006.0,362.0,687.0,921.0,564.6666667000002,699.0
ABAT,5033.0,6428.0,532.0,189.0,1125.333333,3502.666667,2839.0,1276.0,1343.666667
ABCA1,1646.0,290.0,2518.0,1946.0,2867.0,2642.666667,1244.333333,3134.0,938.6666667000003
ABCA11P,239.0,209.0,158.0,39.0,75.33333329999998,172.33333330000005,108.6666667,96.0,218.6666667
ABCA12,263.0,331.0,292.0,193.0,33.3333333,56.3333333,237.0,245.6666667,90.0
ABCA2,219.0,281.0,356.0,358.0,240.3333333,256.3333333,429.33333330000005,219.0,500.33333330000005
ABCA3,691.0,516.0,1907.0,741.0,151.0,598.3333332999998,125.6666667,68.0,221.6666667
ABCA4,110.0,165.0,158.0,47.0,2.6666667,27.0,148.33333330000005,107.0,78.66666670000002
ABCA5,185.0,167.0,345.0,290.0,541.6666667000002,507.0,119.6666667,119.0,296.0
ABCA6,82.0,28.0,104.0,36.0,149.66666669999995,-0.3333333,36.0,-18.0,36.6666667
ABCA7,242.0,249.0,72.0,63.0,191.6666667,124.3333333,54.0,135.66666669999998,81.66666670000002
ABCA8,370.0,108.0,67.0,11.0,2030.0,90.0,80.66666670000002,44.3333333,68.66666670000001
ABCB1,194.0,96.0,46.0,216.0,393.0,114.6666667,219.6666667,233.6666667,182.0
ABCB11,159.0,127.0,112.0,104.0,80.66666670000002,93.6666667,181.0,139.66666669999998,174.33333330000005
ABCB4,48.0,14.0,61.0,41.0,160.33333330000005,137.66666669999998,68.66666670000001,-2.0,59.6666667
ABCB6,311.0,161.0,194.0,222.0,279.0,185.6666667,247.6666667,249.0,1064.666667
ABCB7,404.0,235.0,293.0,526.0,1230.333333,947.0,637.0,1074.666667,816.3333332999998
ABCB8,220.0,167.0,91.0,116.0,132.3333333,106.6666667,129.6666667,87.0,179.0
ABCB9,313.0,410.0,136.0,428.0,96.0,271.6666667,178.0,149.33333330000005,331.6666667
ABCC1,1875.0,1723.0,2514.0,1736.0,1740.6666670000004,1644.0,1908.333333,1975.666667,684.3333332999998
ABCC10,2971.0,3988.0,4829.0,3493.0,1910.666667,1729.0,1459.0,818.6666667000002,1424.666667
ABCC2,66.0,136.0,169.0,261.0,90.0,-10.3333333,180.6666667,141.33333330000005,110.0
ABCC3,190.0,-52.0,-64.0,1.0,-6.3333333,159.33333330000005,7999.0,3541.333333,135.33333330000002
ABCC4,147.0,73.0,69.0,184.0,545.6666667000002,94.3333333,956.6666667000003,1072.666667,455.0
ABCC5,2155.0,2901.0,975.0,1343.0,2569.0,2013.666667,1763.6666670000004,1050.333333,2237.666667
ABCC6,213.0,425.0,603.0,713.0,312.0,256.0,922.6666667000003,631.0,717.6666667000002
ABCC8,-25.0,80.0,67.0,88.0,39.0,173.66666669999995,2.6666667,65.0,136.33333330000002
ABCC9,258.0,503.0,539.0,331.0,241.3333333,208.3333333,334.3333333,417.3333333,417.0
ABCD1,498.0,169.0,697.0,377.0,311.0,364.3333333,274.3333333,305.0,345.3333333
ABCD1P2,48.0,16.0,-6.0,75.0,36.0,12.3333333,24.0,42.6666667,7.6666667
